"employeeID","months_worked2021"
"1473",2
"1716",10
"1760",12
"1792",12
"1841",12
"1850",12
"1982",5
"2014",5
"2023",12
"2071",12
"2086",6
"2194",12
"2204",12
"2214",12
"2241",12
"2251",12
"2259",12
"2271",12
"2279",8
"2309",12
"2310",12
"2318",12
"2327",12
"2335",12
"2389",12
"2395",12
"2428",12
"2438",12
"2463",12
"2490",12
"2510",12
"2540",12
"2543",12
"2545",12
"2556",12
"2562",12
"2567",12
"2577",9
"2582",12
"2594",12
"2598",12
"2615",12
"2622",12
"2636",12
"2640",12
"2647",12
"2667",12
"2713",12
"2739",12
"2740",12
"2760",12
"2766",12
"2768",12
"2776",12
"2782",12
"2787",9
"2807",3
"2819",12
"2831",12
"2850",12
"2851",12
"2871",12
"2872",12
"2875",12
"2882",12
"2890",12
"2900",12
"2925",12
"2930",12
"2963",12
"2980",12
"2989",12
"2994",12
"2995",12
"3015",12
"3017",12
"3023",12
"3025",6
"3040",12
"3051",12
"3056",12
"3073",12
"3091",12
"3102",12
"3118",12
"3119",12
"3120",12
"3121",12
"3150",12
"3151",12
"3208",12
"3229",12
"3236",12
"3243",12
"3283",12
"3298",12
"3309",12
"3310",12
"3315",12
"3318",12
"3331",12
"3352",12
"3355",12
"3389",12
"3392",12
"3429",9
"3457",12
"3467",12
"3488",12
"3506",12
"3511",12
"3546",12
"3554",12
"3573",12
"3580",12
"3585",12
"3593",12
"3604",12
"3609",12
"3614",12
"3616",12
"3705",12
"3724",12
"3726",12
"3730",12
"3733",7
"3752",12
"3774",12
"3783",12
"3788",12
"3812",12
"3816",12
"3817",12
"3830",12
"3832",12
"3847",12
"3860",12
"3877",9
"3881",12
"3898",12
"3935",12
"3948",12
"3964",12
"3983",10
"3985",10
"3993",12
"4001",9
"4002",12
"4004",12
"4007",12
"4016",12
"4023",12
"4025",12
"4036",12
"4049",12
"4056",12
"4065",12
"4074",12
"4076",12
"4087",12
"4089",12
"4095",12
"4098",12
"4099",12
"4109",12
"4125",12
"4135",12
"4169",12
"4197",7
"4204",12
"4248",12
"4253",12
"4259",12
"4261",12
"4285",12
"4331",12
"4347",12
"4354",12
"4364",12
"4369",12
"4374",12
"4375",12
"4398",12
"4428",12
"4443",12
"4454",12
"4468",12
"4480",12
"4486",12
"4508",12
"4543",9
"4577",12
"4581",2
"4582",12
"4623",12
"4626",12
"4691",12
"4723",12
"4735",12
"4754",12
"4785",12
"4797",12
"4805",12
"4823",12
"4845",12
"4928",12
"4948",12
"5002",12
"5015",12
"5021",4
"5025",12
"5028",12
"5035",12
"5046",12
"5054",1
"5055",12
"5057",12
"5076",12
"5077",12
"5154",12
"5163",12
"5168",12
"5185",12
"5187",12
"5255",12
"5301",12
"5307",12
"5314",12
"5315",12
"5319",12
"5346",12
"5352",12
"5365",12
"5370",12
"5371",12
"5377",12
"5383",12
"5386",12
"5433",12
"5459",12
"5481",12
"5492",12
"5496",12
"5503",12
"5510",12
"5515",12
"5521",12
"5523",12
"5531",12
"5532",12
"5533",12
"5538",7
"5551",12
"5554",12
"5555",1
"5573",12
"5585",12
"5612",12
"5615",12
"5620",12
"5648",12
"5667",12
"5669",12
"5682",12
"5683",12
"5685",12
"5703",12
"5713",12
"5735",12
"5741",12
"5763",12
"5776",12
"5793",12
"5795",12
"5801",12
"5823",12
"5829",5
"5838",12
"5844",12
"5851",12
"5852",12
"5861",12
"5882",12
"5883",12
"5884",12
"5897",12
"5913",12
"5920",12
"5928",12
"5942",12
"5951",2
"5990",12
"5993",12
"6008",12
"6015",12
"6029",12
"6041",12
"6052",7
"6065",12
"6066",12
"6132",12
"6139",12
"6140",12
"6147",12
"6168",12
"6201",12
"6232",12
"6252",12
"6264",12
"6278",12
"6282",12
"6295",12
"6299",12
"6315",12
"6332",12
"6334",12
"6335",12
"6337",12
"6347",12
"6348",12
"6392",12
"6404",12
"6409",12
"6425",12
"6460",12
"6461",12
"6478",12
"6506",12
"6516",12
"6525",12
"6527",12
"6535",11
"6543",12
"6552",11
"6563",12
"6568",12
"6574",12
"6577",12
"6613",12
"6627",12
"6634",12
"6640",12
"6655",12
"6659",12
"6722",12
"6723",12
"6741",12
"6749",12
"6775",12
"6808",12
"6813",12
"6819",12
"6831",12
"6832",12
"6841",12
"6845",12
"6870",12
"6874",12
"6900",12
"6901",12
"6909",12
"6941",4
"6964",12
"6968",12
"6976",12
"6980",12
"6993",12
"7001",12
"7018",12
"7029",12
"7038",12
"7040",12
"7044",12
"7046",12
"7065",12
"7068",12
"7071",12
"7075",12
"7097",12
"7135",12
"7140",12
"7148",12
"7154",12
"7157",12
"7204",12
"7211",12
"7224",12
"7234",12
"7238",12
"7264",12
"7274",3
"7308",12
"7325",12
"7326",12
"7334",12
"7355",12
"7359",12
"7365",12
"7366",12
"7394",12
"7398",12
"7425",12
"7439",12
"7440",12
"7441",12
"7445",11
"7484",12
"7494",12
"7498",12
"7534",12
"7535",12
"7545",12
"7580",12
"7605",12
"7626",12
"7653",12
"7696",12
"7705",12
"7717",12
"7750",12
"7759",12
"7760",12
"7766",12
"7814",12
"7837",12
"7839",12
"7840",12
"7842",12
"7846",4
"7848",12
"7878",4
"7884",12
"7922",12
"7953",3
"7955",12
"7956",12
"7989",12
"7990",12
"7997",12
"8003",5
"8005",6
"8026",12
"8046",12
"8049",12
"8052",12
"8056",12
"8130",12
"8152",12
"8153",12
"8176",12
"8207",12
"8212",12
"8235",12
"8238",12
"8241",12
"8247",12
"8250",12
"8251",12
"8255",12
"8256",12
"8289",12
"8315",12
"8334",12
"8382",12
"8441",12
"8533",12
"8535",12
"8597",12
"9079",12
"9098",12
"9159",12
"9180",12
"9189",12
"9205",12
"9207",12
"9208",12
"9209",12
"9210",12
"9243",12
"9244",12
"9256",12
"9262",12
"9308",12
"9383",12
"9411",12
"9515",12
"9598",12
"9796",12
"9845",12
"9853",12
"9902",12
"9933",12
"11290",12
"11341",12
"11344",12
"11364",9
"11375",12
"11381",12
"11392",12
"11429",12
"11441",12
"11448",12
"11545",12
"11556",12
"11638",12
"11704",12
"11788",12
"11890",12
"11912",12
"11940",12
"12001",12
"12068",12
"12094",12
"12095",12
"12106",12
"12113",12
"12119",12
"12151",12
"12210",12
"12288",12
"12298",12
"12315",12
"12354",12
"12360",12
"12361",12
"12424",12
"12428",12
"12451",12
"12468",12
"12483",12
"12514",12
"12563",12
"12585",11
"12589",12
"12607",12
"12642",12
"12661",11
"12667",12
"12723",12
"12734",12
"12736",12
"13112",12
"13125",12
"13154",12
"13165",12
"13182",12
"13184",12
"13186",11
"13195",12
"13196",12
"13202",1
"13203",12
"13210",12
"13216",12
"13218",12
"13219",12
"13220",12
"13221",12
"13222",12
"13257",12
"13265",12
"13322",12
"13329",12
"13331",12
"13334",12
"13335",12
"13336",12
"13337",12
"13339",12
"13341",12
"13350",12
"13352",12
"13363",12
"13365",12
"13368",12
"13369",12
"13376",12
"13377",12
"13380",12
"13381",12
"13393",4
"13394",12
"13395",12
"13403",12
"13414",12
"13422",12
"13443",12
"13444",12
"13473",12
"13477",12
"13486",12
"13502",12
"13505",12
"13510",12
"13533",12
"13534",12
"13543",12
"13545",12
"13560",12
"13573",12
"13579",12
"13581",12
"13591",12
"13594",12
"13595",12
"13597",12
"13604",12
"13608",12
"13609",12
"13613",12
"13618",12
"13621",12
"13631",1
"13633",12
"13636",12
"13637",12
"13638",12
"13639",12
"13642",12
"13651",12
"13652",12
"13672",12
"13676",12
"13680",12
"13686",12
"13687",12
"13689",12
"13693",12
"13694",12
"13697",12
"13698",12
"13702",12
"13718",12
"13720",12
"13724",12
"13736",12
"13747",12
"13755",12
"13759",12
"13763",12
"13769",12
"13773",12
"13790",12
"13791",12
"13792",12
"13802",12
"13804",12
"13806",12
"13809",12
"13814",12
"13820",12
"13827",12
"13830",12
"13832",12
"13836",12
"13837",12
"13839",12
"13840",12
"13854",12
"13857",12
"13867",12
"13871",12
"13873",12
"13890",12
"13891",12
"13914",12
"13921",12
"13936",12
"13944",12
"13946",12
"13952",12
"13956",7
"13957",12
"13975",12
"13978",12
"13984",12
"13989",12
"13990",12
"13999",12
"14004",12
"14006",12
"14011",12
"14016",12
"14024",12
"14039",12
"14047",12
"14053",12
"14066",12
"14071",12
"14078",12
"14083",12
"14101",12
"14117",12
"14123",12
"14126",12
"14133",12
"14135",12
"14136",12
"14143",12
"14151",12
"14165",12
"14172",12
"14174",5
"14181",12
"14190",12
"14191",12
"14192",12
"14200",12
"14201",12
"14202",12
"14211",12
"14213",12
"14238",12
"14250",12
"14255",12
"14259",12
"14263",12
"14282",12
"14283",12
"14298",12
"14324",12
"14326",12
"14331",12
"14349",12
"14350",12
"14356",12
"14357",12
"14358",12
"14380",12
"14381",12
"14382",12
"14431",12
"14433",12
"14449",12
"14453",12
"14460",12
"14464",12
"14476",12
"14477",12
"14488",12
"14497",12
"14518",12
"14530",12
"14536",12
"14537",12
"14539",12
"14544",12
"14547",12
"14548",12
"14559",12
"14569",12
"14570",12
"14571",12
"14575",12
"14581",12
"14592",12
"14617",12
"14620",12
"14622",12
"14627",12
"14629",12
"14631",12
"14634",12
"14637",12
"14644",12
"14652",12
"14654",12
"14660",12
"14662",12
"14672",12
"14676",11
"14685",12
"14686",12
"14693",12
"14694",12
"14701",12
"14712",12
"14718",12
"14719",12
"14725",12
"14726",12
"14728",12
"14734",12
"14740",12
"14748",12
"14755",12
"14767",12
"14775",12
"14781",12
"14783",12
"14792",12
"14802",12
"14805",12
"14806",12
"14818",12
"14823",12
"14831",10
"14843",12
"14847",12
"14848",12
"14849",12
"14855",12
"14860",12
"14872",12
"14878",12
"14887",12
"14913",12
"14916",12
"14917",12
"14924",12
"14927",12
"14932",12
"14948",12
"14952",12
"14956",12
"14958",12
"14965",6
"14970",12
"14977",12
"14978",12
"14979",12
"14980",12
"14982",12
"14995",12
"15017",12
"15027",12
"15028",12
"15029",12
"15031",12
"15039",12
"15043",8
"15049",12
"15050",12
"15051",12
"15068",12
"15073",12
"15147",12
"15149",12
"15174",4
"15176",12
"15189",12
"15190",5
"15191",12
"15192",12
"15193",9
"15196",12
"15203",2
"15208",12
"15211",7
"15216",12
"15217",12
"15220",12
"15221",12
"15222",12
"15230",12
"15232",1
"15233",12
"15235",12
"15236",12
"15238",12
"15244",12
"15245",12
"15247",12
"15249",12
"15254",12
"15257",12
"15258",12
"15259",12
"15260",12
"15266",12
"15269",12
"15270",12
"15290",12
"15293",12
"15294",12
"15296",12
"15306",12
"15310",12
"15312",11
"15313",12
"15322",12
"15329",12
"15332",12
"15336",12
"15339",12
"15355",12
"15361",12
"15366",12
"15389",12
"15399",12
"15435",12
"15444",12
"15445",12
"15446",12
"15447",12
"15453",12
"15457",12
"15461",12
"15463",12
"15465",12
"15467",12
"15479",12
"15480",12
"15481",12
"15484",12
"15485",12
"15491",12
"15495",12
"15496",12
"15499",12
"15520",12
"15521",12
"15525",12
"15528",12
"15535",12
"15539",12
"15558",12
"15573",5
"15579",12
"15589",12
"15596",12
"15603",12
"15607",12
"15624",12
"15634",12
"15635",12
"15638",12
"15641",12
"15648",12
"15649",12
"15650",12
"15654",12
"15659",12
"15660",12
"15662",12
"15663",12
"15673",12
"15686",12
"15687",12
"15696",12
"15714",12
"15715",12
"15726",12
"15731",3
"15749",12
"15750",11
"15751",12
"15752",12
"15753",12
"15754",12
"15756",12
"15776",12
"15779",12
"15793",12
"15794",12
"15795",12
"15801",12
"15810",12
"15825",12
"15826",12
"15827",12
"15830",12
"15835",12
"15840",12
"15845",12
"15862",12
"15869",12
"15871",12
"15913",12
"15928",12
"15929",12
"15942",12
"15955",12
"15958",12
"15959",12
"15961",12
"15964",12
"15974",12
"15975",12
"15977",12
"15989",8
"15992",12
"15996",12
"15997",12
"16003",12
"16021",6
"16027",12
"16029",12
"16030",12
"16031",12
"16032",12
"16045",12
"16050",12
"16052",12
"16056",12
"16074",12
"16093",12
"16094",12
"16112",12
"16118",12
"16120",12
"16121",12
"16122",12
"16123",12
"16124",12
"16127",12
"16139",12
"16146",12
"16149",12
"16152",12
"16155",12
"16156",12
"16157",12
"16168",12
"16175",12
"16176",12
"16193",12
"16203",12
"16204",12
"16209",12
"16211",12
"16215",12
"16217",12
"16218",12
"16230",12
"16244",12
"16245",12
"16254",12
"16257",12
"16260",12
"16263",12
"16264",12
"16265",12
"16266",12
"16268",12
"16270",12
"16271",12
"16272",12
"16282",12
"16284",12
"16285",12
"16287",12
"16296",12
"16299",12
"16300",12
"16301",12
"16302",12
"16325",12
"16326",12
"16331",12
"16336",12
"16341",12
"16355",12
"16362",12
"16363",12
"16364",12
"16370",12
"16389",12
"16396",12
"16402",12
"16409",12
"16411",12
"16423",12
"16425",12
"16433",12
"16434",3
"16436",12
"16438",12
"16440",12
"16441",12
"16443",12
"16444",12
"16451",12
"16457",12
"16464",8
"16465",12
"16484",12
"16492",12
"16502",12
"16510",12
"16514",12
"16518",12
"16533",12
"16534",12
"16535",12
"16543",12
"16554",12
"16556",12
"16559",12
"16572",12
"16578",12
"16580",12
"16600",12
"16609",12
"16615",12
"16616",11
"16637",12
"16640",12
"16641",12
"16642",2
"16644",12
"16655",12
"16658",12
"16660",12
"16666",12
"16667",12
"16669",10
"16678",12
"16680",12
"16691",1
"16696",12
"16699",12
"16711",12
"16713",12
"16721",12
"16723",12
"16724",12
"16725",12
"16727",12
"16728",12
"16730",12
